CVE,package,severity,summary,description,publishedAt,vulnerableVersionRange,firstPatchedVersion
CVE-2016-10573,baryton-saxophone,HIGH,Downloads Resources over HTTP in baryton-saxophone,"Affected versions of `baryton-saxophone` insecurely download an executable over an unencrypted HTTP connection. 

In scenarios where an attacker has a privileged network position, it is possible to intercept the response and replace the executable with a malicious one, resulting in code execution on the system running `baryton-saxophone`.


## Recommendation

Update to version 3.0.1 or later.",2019-02-18T23:35:18Z,< 3.0.1,3.0.1
CVE-2016-10569,embedza,HIGH,Downloads Resources over HTTP in embedza,"Affected versions of `embedza` insecurely download an executable over an unencrypted HTTP connection. 

In scenarios where an attacker has a privileged network position, it is possible to intercept the response and replace the executable with a malicious one, resulting in code execution on the system running `embedza`.


## Recommendation

Update to version 1.2.4 or later.",2019-02-18T23:35:23Z,< 1.2.4,1.2.4
CVE-2016-10567,product-monitor,HIGH,Downloads Resources over HTTP in product-monitor,"Affected versions of `product-monitor` insecurely download an executable over an unencrypted HTTP connection. 

In scenarios where an attacker has a privileged network position, it is possible to intercept the response and replace the executable with a malicious one, resulting in code execution on the system running `product-monitor`.


## Recommendation

Update to versions 2.2.5 or later.",2019-02-18T23:35:32Z,< 2.2.5,2.2.5
CVE-2016-10565,operadriver,HIGH,Downloads Resources over HTTP in operadriver,"operadriver is a Opera Driver for Selenium.

operadriver versions below 0.2.3 download binary resources over HTTP, which leaves it vulnerable to MITM attacks.  It may be possible to cause remote code execution (RCE) by swapping out the requested binary with an attacker controlled binary if the attacker is on the network or positioned in between the user and the remote server.


## Recommendation

Update to version 0.2.3 or later.",2019-02-18T23:35:48Z,< 0.2.3,0.2.3
CVE-2016-10523,mqtt-packet,HIGH,Denial of Service in mqtt-packet,"Versions of `mqtt-packet` prior to 3.4.6, or 4.x prior to 4.0.5 are affected by a denial of service vulnerability wherein specific sequences of MQTT packets can crash the application.




## Recommendation

Version 3.x: Update to version 3.4.6 or later.
Version 4.x: Update to version 4.0.5 or later.",2019-02-18T23:38:45Z,< 3.4.6,3.4.6
CVE-2016-10523,mqtt-packet,HIGH,Denial of Service in mqtt-packet,"Versions of `mqtt-packet` prior to 3.4.6, or 4.x prior to 4.0.5 are affected by a denial of service vulnerability wherein specific sequences of MQTT packets can crash the application.




## Recommendation

Version 3.x: Update to version 3.4.6 or later.
Version 4.x: Update to version 4.0.5 or later.",2019-02-18T23:38:45Z,">= 4.0.0, < 4.0.5",4.0.5
CVE-2016-10525,hapi-auth-jwt2,CRITICAL,Authentication Bypass in hapi-auth-jwt2,"Versions of `hapi-auth-jwt2` prior to version 5.1.2 are affected by a complete authentication bypass vulnerability when in the `try` authentication mode. 


## Recommendation

Update to version 5.1.2 or later.",2019-02-18T23:39:00Z,= 5.1.1,5.1.2
CVE-2016-10524,i18n-node-angular,HIGH,Denial of Service and Content Injection in i18n-node-angular,"Versions of `i18n-node-angular` prior to 1.4.0 are affected by denial of service and cross-site scripting vulnerabilities. The vulnerabilities exist in a REST endpoint that was created for development purposes, but was not disabled in production in affected versions.


## Recommendation

Update to version 1.4.0 or later.",2019-02-18T23:39:06Z,< 1.4.0,1.4.0
CVE-2016-10526,grunt-gh-pages,MODERATE,Sensitive Data In Log Files in grunt-gh-pages,"Versions of `grunt-gh-pages` prior to 1.0.0 are affected by a vulnerability which may cause unencrypted github credentials to be written to a log file in certain circumstances.

In the `grunt-gh-pages` deployment scenario where authentication is performed by injecting a github token directly into the auth portion of the URL, `grunt-gh-pages` will write the token to a log file, unencrypted.


## Recommendation

Update to version 1.0.0 or later.",2019-02-18T23:39:11Z,<= 0.9.1,0.10.0
CVE-2016-10527,riot-compiler,MODERATE,Regular Expression Denial of Service in riot-compiler,"Affected versions of `riot-compiler` are susceptible to a regular expression denial of service vulnerability.


## Recommendation

Update to version 2.3.22 or later.",2019-02-18T23:39:13Z,< 2.3.22,2.3.22
CVE-2016-10528,restafary,MODERATE,Directory Traversal in restafary,"Affected versions of `restafary` are susceptible to a directory traversal vulnerability when a root path is specified in the configuration.


Proof of Concept

```
curl -i -s -k  -X 'GET' -H 'Authorization: Basic YWRtaW46cGFzc3dvcmQ=' 'http://localhost:8000/api/v1/fs/..%2f..%2fetc/passwd'
```


## Recommendation

Update to version 1.6.1 or later.",2019-02-18T23:39:22Z,< 1.6.1,1.6.1
CVE-2016-10529,droppy,HIGH,No CSRF Validation in droppy,"Affected versions of `droppy`  are vulnerable to cross-site socket forgery. The package does not perform verification for cross-domain websocket requests, and as a result, an attacker can create a web page that opens up a websocket connection on behalf of the user visiting the page. The attacker can then perform any action that the target user could, including adding a new admin account under their control, or deleting others.


## Recommendation

Update to version 3.5.0 or later.",2019-02-18T23:39:32Z,< 3.5.0,3.5.0
CVE-2016-10530,airbrake,MODERATE,Insecure Default Configuration in airbrake,"Affected versions of `airbrake` default to sending environment variables over an unencrypted HTTP connection. In scenarios where an attacker has a privileged network position, it is possible for them to capture and read these environment variables, which may result in leaking sensitive information.


## Recommendation

Update to version 0.4.0 or later, or upgrade from the now-deprecated `airbrake` module to its replacement, [`airbrake-js`](https://www.npmjs.com/package/airbrake-js).",2019-02-18T23:58:13Z,< 0.4.0,0.4.0
CVE-2016-10531,marked,HIGH,Sanitization bypass using HTML Entities in marked,"Affected versions of `marked` are susceptible to a cross-site scripting vulnerability in link components when `sanitize:true` is configured. 

## Proof of Concept

This flaw exists because link URIs containing HTML entities get processed in an abnormal manner. Any HTML Entities get parsed on a best-effort basis and included in the resulting link, while if that parsing fails that character is omitted.

For example:

A link URI such as
```
javascript&#x58document;alert&#40;1&#41;
```
Renders a valid link that when clicked will execute `alert(1)`.


## Recommendation

Update to version 0.3.6 or later.",2019-02-18T23:58:20Z,< 0.3.6,0.3.6
CVE-2016-10532,console-io,CRITICAL,Authentication Bypass in console-io,"Affected versions of the `console-io` package do not configure the underlying websocket library to require authentication, resulting in an authentication bypass vulnerability. As `console-io` allows terminal access on the server via a web page, an authentication bypass is essentially remote code execution.



## Recommendation

Update to version 2.3.0 or later.",2019-02-18T23:39:39Z,< 2.3.0,2.3.0
CVE-2016-10534,electron-packager,LOW,SSL Validation Defaults to False in electron-packager,"Affected versions of `electron-packager` configure the generated application to disable SSL certificate verification by default. 

This could allow an attacker with a privileged network position to launch a Man In The Middle (MITM) attack on the install process, intercepting the step where electron-packager downloads Electron for supported target platforms and architectures, and replacing the valid download with a tampered malicious one.

This only affects users using the electron-packager CLI. The strict-ssl option defaults to true for the node.js API.


## Recommendation

1. Update to version 7.0.0 or later.
2. Delete the `electron-download` cache folder, which is by default located at `~/.electron`.",2019-02-18T23:58:24Z,">= 5.2.1, < 7.0.0",7.0.0
CVE-2016-10535,csrf-lite,HIGH,Timing Attack in csrf-lite,"Affected versions of `csrf-lite` are vulnerable to timing attacks as a result of testing CSRF tokens via a fail-early comparison instead of a constant-time comparison. 

Timing attacks remove the exponential increase in entropy gained from increased secret length, by providing per-character feedback on the correctness of a guess via miniscule timing differences.

Under favorable network conditions, an attacker can exploit this to guess the secret in no more than (16*18)288 guesses, instead of the 16^18 guesses required were the timing attack not present. 


## Recommendation

Update to version 0.1.2 or later.",2019-02-18T23:39:44Z,< 0.1.2,0.1.2
CVE-2016-10536,engine.io-client,MODERATE,Insecure Defaults Allow MITM Over TLS in engine.io-client,"Affected versions of `engine.io-client` do not verify certificates by default, and as such may be vulnerable to Man-in-the-Middle attacks.

The vulnerability is related to the way that node.js handles the `rejectUnauthorized` setting. If the value is something that evaluates to false, such as undefined or null, certificate verification will be disabled. 



## Recommendation

Update to version 1.6.9 or later.

If you are unable to upgrade, ensure all calls to socket.io to have a `rejectedUnauthorized: true` flag.",2019-02-18T23:39:50Z,< 1.6.9,1.6.9
CVE-2016-10537,backbone,HIGH,Cross-Site Scripting in backbone,"Affected versions of `backbone` are vulnerable to cross-site scripting when users are allowed to supply input to the `Model#Escape` function, and the output is then written to the DOM. 

The vulnerability occurs as a result of the regular expression used to encode metacharacters failing to take HTML Entities such as `&#60;` into account.


## Recommendation

Update to version 0.5.0 or later.",2019-02-18T23:39:55Z,< 0.5.0,0.5.0
CVE-2016-10538,cli,LOW,Arbitrary File Write in cli,"Affected versions of `cli` use predictable temporary file names. If an attacker can create a symbolic link at the location of one of these temporarly file names, the attacker can arbitrarily write to any file that the user which owns the `cli` process has permission to write to.


## Proof of Concept

By creating Symbolic Links at the following locations, the target of the link can be written to.
```
lock_file = '/tmp/' + cli.app + '.pid',
log_file = '/tmp/' + cli.app + '.log';
```


## Recommendation

Update to version 1.0.0 or later.",2019-02-18T23:40:03Z,< 1.0.0,1.0.0
CVE-2016-10541,shell-quote,CRITICAL,Potential Command Injection in shell-quote,"Affected versions of `shell-quote` do not properly escape command line arguments, which may result in command injection if the library is used to escape user input destined for use as command line arguments.



## Proof of Concept:

The following characters are not escaped properly: `>`,`;`,`{`,`}`

Bash has a neat but not well known feature known as ""Bash Brace Expansion"", wherein a sub-command can be executed without spaces by running it between a set of `{}` and using the `,` instead of ` ` to seperate arguments. Because of this, full command injection is possible even though it was initially thought to be impossible. 

```
   const quote = require('shell-quote').quote;
   console.log(quote(['a;{echo,test,123,234}']));
   // Actual                    ""a;{echo,test,123,234}""
   // Expected                  ""a\;\{echo,test,123,234\}""
   // Functional Equivalent     ""a; echo 'test' '123' '1234'""
```



## Recommendation

Update to version 1.6.1 or later.",2019-02-18T23:58:29Z,< 1.6.1,1.6.1
CVE-2016-10542,ws,HIGH,DoS due to excessively large websocket message in ws,"Affected versions of `ws` do not appropriately limit the size of incoming websocket payloads, which may result in a denial of service condition when the node process crashes after receiving a large payload.



## Recommendation

Update to version 1.1.1 or later. 
Alternatively, set the `maxpayload` option for the `ws` server to a value smaller than 256MB.",2019-02-18T23:58:35Z,< 1.1.1,1.1.1
CVE-2016-10543,call,MODERATE,Route Validation Bypass in call,"Affected versions of `call` do not validate empty parameters, which may result in a bypass of route validation rules. 

## Proof of Concept

Routing Scheme:
```
/api/{param}/{param2}/details
```
Triggering Request Path:
```
/api///
```


## Recommendation

Update to version 3.0.2 or later.",2019-02-18T23:40:04Z,">= 2.0.1, < 3.0.2",3.0.2
CVE-2016-10549,sails,HIGH,Broken CORS in sails,"Affected versions of `sails` have an issue with the CORS configuration where the value of the origin header is reflected as the value for the `Access-Control-Allow-Origin` header. This may allow an attacker to make AJAX requests to vulnerable hosts through cross-site scripting or a malicious HTML Document, effectively bypassing the Same Origin Policy. 

## Mitigating Factors

This is only an issue when `allRoutes` is set to `true` and `origin` is set to `*` or left commented out in the sails CORS config file. 

The problem can be compounded when the cors `credentials` setting is not provided, because at that point authenticated cross domain requests are possible.


## Recommendation

Update to version 0.12.7 or later.

As this vulnerability is primarily a user error, the patch for the vulnerability will simply cause the application to write an error message to the console when a vulnerable configuration is used in a production environment.

Writing a proper CORS configuration is still the responsibility of the user, so it is necessary to check for the error message after installing the patch. Be sure you are not using `allRoutes: true` with `origin:'*'`, and that you uncomment `origin` and set it to a reasonable value. Ensure that if `origin` is set to `*` that you truly mean for all other websites to be able to make cross-domain requests to your API.

Likewise, ensure `credentials` is uncommented out and set to the appropriate value. Make sure to explicitly set which origins may request resources via CORS.",2019-02-18T23:40:10Z,< 0.12.7,0.12.7
